Song Title,Artist,FAD Score(CLAP-2023),
KING,Kanaria,728.0633041,
Teo,Omoi,704.2573982,
Realize,柊マグネタイト,767.6725828,
crystallized,Camellia,594.6822076,
Synthesis,tn-shi,666.7573990,
Cyberfantasia,tn-shi,677.0225954,
PARTY in PSPACE,tn-shi,750.8964258,
ONESELF,Twinfield,712.1205848,
METEOR,DIVELA,657.3310782,
Everything Goes On,Porter Robinson,584.0240500,
Look at the Sky,Porter Robinson,498.3902578,
I REALLY WANT TO STAY AT YOUR HOUSE,ROSA WALTON HALLIE COGGINS,548.3821032,
Whats up Pop,Capchii,742.6438598,
Beyond Sunshine,ABlackCat,719.8819497,
Beyond Apocalypse,ABlackCat,693.3618967,
Re: Lonely Walker,ABlackCat,696.1439689,
108課綱,ABlackCat,713.6801300,
奴役,ABlackCat,679.1677210,
weird2,ABlackCat,713.6473818,
weird1,ABlackCat,868.0619992,
sf,ABlackCat,1064.2952914,
記憶,ABlackCat,781.3558224,
little star cover,ABlackCat,887.0728447,
Train cover,ABlackCat,974.5865690,
Cat war cover,ABlackCat,1028.1665367,
\-1BC,ABlackCat,851.0393040,
Isenkonen,いよわ,487.7119416,
きゅうくらりん,いよわ,510.9566992,
ジェリーフィッシュ,Yunomi,586.1005566,
まにまに,r-906,561.3273668,
リメンシア,せきこみごはん,588.0430106,
くうになる,MIMI,651.8785725,
Arcahv,Feryquitous,545.1971093,
Altale,Sakuzyo,513.8717177,
Destr0yer,Sakuzyo,535.071078,
Lapis,SHIKI,686.271701,
Hifumi Daisuki Remix,Quilt heron,629.8852127,
Aoharu Band Arrange,Blue Archive,603.5618063,
Constant Moderato,Blue Archive,686.4337044,
RE Aoharu,Blue Archive,606.5639948,
魔法少女とチョコレゐト,ピノキオピー,731.9750546,
魔王World Ender,sasakureUK  TJhangneil,529.6489574,
